category,reviews,size,installs,price,suitable_for,last_update,latest_ver,popularity
FOOD_AND_DRINK,109784,64M,"10,000,000+",0,Everyone,"August 3, 2018",4.0.30,Low
FAMILY,130,13M,"5,000+",0,Everyone,"December 21, 2017",2.0.0,Low
FAMILY,50,2.8M,"10,000+",0,Everyone,"October 21, 2017",1.2,Low
COMMUNICATION,960,3.8M,"50,000+",0,Everyone,"September 21, 2017",2.1.2,Low
TRAVEL_AND_LOCAL,86,39M,"10,000+",0,Everyone,"May 17, 2018",2.5.186032,Low
TOOLS,784,42M,"50,000+",0,Everyone,"September 29, 2016",1.2.6.94,Low
BOOKS_AND_REFERENCE,156,42M,"500,000+",0,Everyone,"February 15, 2018",3.1.7.9,Low
VIDEO_PLAYERS,171,4.8M,"10,000+",0,Everyone,"August 10, 2017",1.1,Low
FINANCE,9,3.8M,"1,000+",0,Everyone,"January 21, 2018",1.0.0,Low
FAMILY,107441,32M,"1,000,000+",0,Everyone,"July 10, 2018",1.10.5,Low
DATING,2519,5.0M,"100,000+",0,Mature 17+,"July 25, 2018",1.9.7,Low
NEWS_AND_MAGAZINES,160,32M,"50,000+",0,Everyone 10+,"May 24, 2018",1.3.2,Low
HEALTH_AND_FITNESS,2105,8.2M,"100,000+",0,Everyone,"August 21, 2017",2.1.0,Low
LIFESTYLE,3187,11M,"100,000+",0,Everyone,"January 27, 2017",1.0.11,Low
FAMILY,1,2.0M,50+,$1.49,Everyone,"April 9, 2012",1.0,Low
BUSINESS,28,20M,500+,$17.99,Everyone,"October 24, 2017",2.0.5,Low
SHOPPING,9189,98M,"1,000,000+",0,Teen,"August 1, 2018",7.0.14,Low
MEDICAL,45,20M,"5,000+",0,Everyone,"July 16, 2018",1.2.3.2,Low
TOOLS,257,160k,"5,000+",$4.99,Everyone,"March 14, 2015",1.4,Low
VIDEO_PLAYERS,23,4.0M,"5,000+",0,Everyone,"December 16, 2016",1.1,Low
LIFESTYLE,552,22M,"10,000+",0,Everyone,"August 2, 2018",3.0.4,Low
DATING,953,19M,"100,000+",0,Mature 17+,"July 18, 2018",6.3.7,Low
SPORTS,500,39M,"50,000+",0,Everyone,"February 16, 2018",10.012,Low
TOOLS,8,6.7M,"1,000+",0,Everyone,"April 18, 2018",1.1.1,Low
FINANCE,42497,61M,"1,000,000+",0,Teen,"July 2, 2018",10.1.28.560,Low
VIDEO_PLAYERS,439,35M,"50,000+",0,Everyone,"March 4, 2016",0.7.9,Low
NEWS_AND_MAGAZINES,33,33M,"1,000+",0,Everyone,"June 6, 2018",1.4.0,Low
LIFESTYLE,43,30M,"10,000+",0,Everyone,"July 11, 2018",2.0.0,Low
NEWS_AND_MAGAZINES,183,7.1M,"10,000+",0,Everyone,"July 4, 2018",2.2.9,Low
NEWS_AND_MAGAZINES,367,6.1M,"50,000+",0,Everyone,"March 2, 2018",1.7,Low
HEALTH_AND_FITNESS,141,22M,"10,000+",0,Everyone,"July 30, 2018",3.2.9,Low
FAMILY,1616,3.0M,"500,000+",0,Everyone,"January 8, 2017",7.0,Low
PRODUCTIVITY,5,7.0M,100+,$4.99,Everyone,"February 11, 2014",1.3,Low
TOOLS,2,2.7M,100+,0,Everyone,"October 10, 2017",1.0.1,Low
COMICS,93965,15M,"5,000,000+",0,Teen,"July 3, 2018",6.3.0,Low
FAMILY,53,82M,"10,000+",0,Everyone,"March 17, 2018",1.0.1,Low
PHOTOGRAPHY,118,26M,"50,000+",0,Everyone,"July 24, 2018",1.3.5,Low
TOOLS,999,91k,"100,000+",0,Everyone,"December 17, 2013",3.2,Low
BOOKS_AND_REFERENCE,5,8.2M,"1,000+",0,Everyone,"October 21, 2017",1.5,Low
MAPS_AND_NAVIGATION,555,31M,"50,000+",0,Everyone,"December 20, 2017",2.1.2,Low
NEWS_AND_MAGAZINES,254,38M,"10,000+",0,Everyone 10+,"June 20, 2018",5.9.5,Low
BUSINESS,358,2.0M,"50,000+",0,Everyone,"September 18, 2017",1.4.1,Low
TOOLS,130,143k,"5,000+",$4.99,Everyone,"March 14, 2015",1.1,Low
FAMILY,16,33M,500+,0,Everyone,"July 6, 2017",1.2,Low
FINANCE,19,2.2M,"5,000+",0,Everyone,"June 26, 2017",1.6,Low
TRAVEL_AND_LOCAL,852,37M,"100,000+",0,Everyone,"July 31, 2018",2.2.1,Low
LIFESTYLE,543,94M,"50,000+",0,Everyone,"July 2, 2018",1.4.1.0629,Low
LIFESTYLE,4260,6.3M,"5,000,000+",0,Everyone,"August 8, 2017",6.1,Low
FAMILY,1218,1.0M,"100,000+",0,Everyone,"August 24, 2012",1.0,Low
AUTO_AND_VEHICLES,14,4.6M,"1,000+",0,Everyone,"February 9, 2018",16.00,Low
BUSINESS,41,20M,"10,000+",0,Everyone,"December 20, 2017",1.1,Low
NEWS_AND_MAGAZINES,202,38M,"10,000+",0,Everyone 10+,"June 20, 2018",5.9.5,Low
NEWS_AND_MAGAZINES,23,33M,"1,000+",0,Everyone,"June 6, 2018",1.4.0,Low
BUSINESS,104,5.3M,"10,000+",0,Everyone,"May 14, 2015",2.0,Low
FINANCE,72,2.4M,"10,000+",0,Everyone,"February 13, 2018",2.0.9,Low
FAMILY,2,22M,50+,$2.99,Everyone,"March 20, 2017",1.1,Low
HEALTH_AND_FITNESS,4,28M,"1,000+",0,Everyone,"February 1, 2018",1.1.3,Low
FAMILY,2802,15M,"100,000+",0,Teen,"July 11, 2018",5.0,Low
COMICS,115,9.1M,"10,000+",0,Mature 17+,"July 13, 2018",5.0.12,Low
SOCIAL,16,2.6M,"1,000+",0,Everyone,"June 30, 2016",1.0,Low
TOOLS,138,141k,"5,000+",$4.99,Everyone,"March 5, 2015",1.6,Low
MAPS_AND_NAVIGATION,1147,19M,"100,000+",0,Everyone,"May 28, 2018",1.0.3.8,Low
FAMILY,76,14M,"5,000+",0,Everyone,"February 13, 2014",2.2.1,Low
TOOLS,39,8.9M,"1,000+",0,Everyone,"December 7, 2017",1.1.4,Low
LIFESTYLE,4082,318k,"500,000+",0,Everyone,"October 16, 2014",1.0,Low
PHOTOGRAPHY,1307,6.6M,"500,000+",0,Everyone,"February 24, 2017",1.8,Low
FAMILY,10,5.2M,"1,000+",0,Everyone,"February 8, 2017",1.0.0,Low
FAMILY,2,33M,100+,0,Everyone,"July 18, 2018",1.0,Low
BUSINESS,9,3.4M,"1,000+",0,Everyone,"June 9, 2017",1.1.12,Low
VIDEO_PLAYERS,197,9.8M,"10,000+",0,Everyone,"February 5, 2017",1.0,Low
FAMILY,304,4.7M,"10,000+",0,Teen,"February 14, 2018",1.0.2,Low
FAMILY,17,246k,"1,000+",0,Everyone,"November 21, 2014",1.0,Low
AUTO_AND_VEHICLES,83,4.8M,"5,000+",0,Everyone,"July 29, 2018",1.0.12,Low
HEALTH_AND_FITNESS,114,1.6M,"10,000+",0,Everyone,"June 20, 2018",20180620,Low
COMMUNICATION,223,1.0M,"5,000+",$1.49,Everyone,"July 26, 2014",1.3,Low
PERSONALIZATION,4,511k,50+,0,Everyone,"December 31, 2016",1.4,High
GAME,568391,5.2M,"5,000,000+",0,Teen,"July 1, 2014",4.3.1,High
FAMILY,144,70M,"1,000+",$2.99,Teen,"January 26, 2018",1.0.0,High
FAMILY,1499466,96M,"10,000,000+",0,Teen,"July 24, 2018",1.25.0,High
DATING,84,4.5M,"1,000+",0,Mature 17+,"July 6, 2018",8.2,High
PARENTING,247,28M,"100,000+",0,Everyone,"March 19, 2018",1.3.0,High
PHOTOGRAPHY,180697,6.1M,"10,000,000+",0,Everyone,"April 25, 2017",2.2.5,High
MEDICAL,6,26M,"1,000+",0,Everyone,"May 25, 2018",1.0.32,High
TOOLS,2,3.3M,10+,$0.99,Everyone,"July 26, 2018",1.05,High
FAMILY,46369,33M,"10,000,000+",0,Everyone,"July 13, 2018",2.3,High
MEDICAL,23160,26M,"1,000,000+",0,Everyone,"July 27, 2018",7.4.1,High
MEDICAL,8348,2.6M,"500,000+",0,Everyone,"April 13, 2018",1.4.6,High
TOOLS,7,3.9M,"1,000+",0,Everyone,"February 23, 2018",1.283.0037,High
GAME,19922,35M,"100,000+",$1.99,Everyone 10+,"July 30, 2018",2.2.5,High
FAMILY,6696,5.3M,"100,000+",0,Everyone,"February 7, 2018",3.1.0,High
FAMILY,9652,53M,"1,000,000+",0,Everyone,"July 16, 2018",2.0.7.4,High
BOOKS_AND_REFERENCE,90468,5.9M,"5,000,000+",0,Everyone,"May 27, 2018",1.911805270,High
PERSONALIZATION,5,35M,50+,$0.99,Everyone,"April 22, 2018",1.1,High
FOOD_AND_DRINK,1,24M,100+,0,Everyone,"April 5, 2018",10,High
FAMILY,23971,24M,"1,000,000+",0,Everyone,"August 4, 2018",39.231,High
AUTO_AND_VEHICLES,4,4.5M,500+,0,Everyone,"November 28, 2017",1.3,High
FINANCE,96,12M,"10,000+",0,Everyone,"June 22, 2018",4.17.38,High
HEALTH_AND_FITNESS,95201,61M,"5,000,000+",0,Everyone,"July 9, 2018",2.4.1,High
SHOPPING,214,1.8M,"10,000+",0,Everyone,"February 27, 2018",2.92,High
FAMILY,305765,34M,"10,000,000+",0,Everyone,"July 31, 2018",1.1.7,High
LIFESTYLE,5,15M,100+,0,Everyone,"April 25, 2016",1.2,High
FAMILY,1,8.2M,10+,0,Everyone,"November 29, 2017",1.2.1,High
FAMILY,1764,8.3M,"10,000+",$3.99,Everyone 10+,"June 22, 2016",1.3.8,High
GAME,371318,90M,"10,000,000+",0,Everyone 10+,"June 8, 2018",10.1.6,High
TOOLS,6505,2.0M,"50,000+",$2.99,Everyone,"November 3, 2017",6.4.0,High
PERSONALIZATION,5,4.5M,100+,$1.49,Everyone,"July 7, 2018",1.1,High
GAME,408292,29M,"10,000,000+",$0.99,Mature 17+,"July 12, 2018",1.7.110758,High
FOOD_AND_DRINK,14065,7.1M,"500,000+",0,Everyone,"June 12, 2018",1.2.2,High
SOCIAL,30,13M,100+,0,Teen,"May 19, 2018",1.04,High
PERSONALIZATION,69,951k,"1,000+",$0.99,Everyone,"January 12, 2017",1.11,High
GAME,1736105,14M,"10,000,000+",0,Mature 17+,"May 16, 2014",3.0.4,High
FAMILY,285,25M,"10,000+",0,Everyone,"January 5, 2018",1.0.5,High
GAME,148897,46M,"10,000,000+",0,Everyone,"July 17, 2018",1.20.1,High
EDUCATION,61749,5.4M,"1,000,000+",0,Everyone,"December 25, 2017",5.5.2,High
FAMILY,12,12M,"1,000+",0,Teen,"July 4, 2018",1.1,High
MEDICAL,453,11M,"100,000+",0,Everyone,"July 7, 2017",1.1,High
EDUCATION,52743,5.4M,"1,000,000+",0,Everyone,"December 25, 2017",3.5.2,High
FOOD_AND_DRINK,91359,27M,"1,000,000+",0,Everyone,"July 5, 2018",2.0.3,High
HEALTH_AND_FITNESS,8642,18M,"100,000+",0,Everyone,"August 2, 2018",1.20,High
BOOKS_AND_REFERENCE,14773,6.4M,"500,000+",0,Everyone,"October 9, 2017",4.1.92,High
LIFESTYLE,3,8.6M,50+,0,Everyone,"May 23, 2017",1.0,High
COMMUNICATION,2264916,6.1M,"50,000,000+",0,Everyone,"July 31, 2018",5.22.18.0006,High
MEDICAL,78825,11M,"1,000,000+",0,Everyone,"August 2, 2018",1.2.16,High
BOOKS_AND_REFERENCE,26875,73M,"500,000+",0,Everyone,"August 1, 2018",6.0.8,High
GAME,337752,48M,"5,000,000+",0,Teen,"August 3, 2018",1.11.0,High
MEDICAL,92,32M,"1,000+",$79.99,Everyone,"June 18, 2018",19.0,High
MEDICAL,2,1.2M,500+,$2.99,Everyone,"December 16, 2015",1.0,High
FAMILY,6,5.1M,"1,000+",0,Everyone,"April 1, 2018",1.0,High
BUSINESS,3,11M,100+,0,Everyone,"January 20, 2015",1.0.16,High
BOOKS_AND_REFERENCE,418,4.2M,"100,000+",0,Everyone,"March 27, 2018",2.1,High
BUSINESS,10295,39M,"100,000+",$4.99,Everyone,"April 11, 2017",3.4.6,High
TOOLS,85496,5.8M,"1,000,000+",0,Everyone,"February 14, 2018",1.6.2,High
EDUCATION,56065,37M,"1,000,000+",0,Everyone,"July 26, 2018",3.3,High
SPORTS,97,1.9M,"10,000+",0,Everyone,"June 28, 2017",1.0,High
GAME,3432,99M,"1,000,000+",0,Mature 17+,"January 23, 2017",1.0,High
FINANCE,111254,7.4M,"1,000,000+",0,Everyone,"July 3, 2018",1.8.9,High
HEALTH_AND_FITNESS,199,8.8M,"50,000+",0,Everyone,"July 24, 2018",1.0.7,High
PHOTOGRAPHY,21841,7.7M,"1,000,000+",0,Everyone,"July 24, 2018",1.6.4,High
FINANCE,78361,22M,"1,000,000+",0,Everyone,"July 5, 2018",1.2.0,High
NEWS_AND_MAGAZINES,12,2.9M,"5,000+",0,Everyone,"February 3, 2018",1.1,High
LIFESTYLE,10544,44M,"1,000,000+",0,Everyone,"June 18, 2018",5.3,High
FAMILY,46741,50M,"10,000,000+",0,Everyone,"August 3, 2018",1.73,High
MEDICAL,2570,3.8M,"100,000+",0,Everyone,"May 10, 2017",1.2.6,High
GAME,7687,23M,"100,000+",$1.99,Everyone,"February 27, 2017",2.3.1,High
SOCIAL,271445,9.9M,"5,000,000+",0,Everyone,"June 24, 2018",4.1.1,High
BEAUTY,26834,57M,"1,000,000+",0,Everyone,"July 24, 2018",18.5,High
FAMILY,3,4.0M,100+,0,Everyone,"August 1, 2018",1.0.5,High
FAMILY,1109,52M,"1,000,000+",0,Everyone,"July 18, 2018",1.0.6,High
SHOPPING,37253,31M,"1,000,000+",0,Everyone,"August 3, 2018",4.31.2,High
HEALTH_AND_FITNESS,121838,15M,"5,000,000+",0,Everyone,"May 23, 2018",5.5.1,High
DATING,776,4.9M,"5,000+",0,Mature 17+,"July 14, 2018",8.2,High
FAMILY,472,4.3M,"10,000+",0,Everyone,"July 6, 2018",2.4.1,High
TOOLS,1456,15M,"50,000+",0,Everyone,"November 14, 2016",1.2,High
BOOKS_AND_REFERENCE,111,10M,"5,000+",0,Everyone,"May 21, 2018",1.6.2,High
TOOLS,2,1.6M,100+,0,Everyone,"February 12, 2015",1.3,High
NEWS_AND_MAGAZINES,327,31M,"10,000+",0,Everyone,"June 26, 2018",4.0.9,High
FAMILY,4,3.6M,100+,0,Everyone,"July 6, 2018",1.0,High
MEDICAL,2,20M,100+,0,Everyone 10+,"September 21, 2017",1.8.3,High
FAMILY,1007,5.2M,"100,000+",0,Everyone,"July 1, 2018",7.0,High
BOOKS_AND_REFERENCE,67186,6.3M,"1,000,000+",0,Everyone 10+,"May 18, 2018",4.4.10,High
BEAUTY,964,9.0M,"50,000+",0,Everyone,"June 21, 2018",4.0,High
AUTO_AND_VEHICLES,7021,17M,"500,000+",0,Everyone,"July 27, 2018",1.79,High
FAMILY,22290,13M,"500,000+",0,Everyone,"August 5, 2018",18.08.05,High
HEALTH_AND_FITNESS,1026,29M,"10,000+",$3.99,Everyone,"May 15, 2018",1.0.6,High
FINANCE,49275,91M,"500,000+",0,Everyone,"July 17, 2018",2.0.3.1,High
FAMILY,18612,8.5M,"100,000+",$1.49,Everyone,"July 28, 2015",1.57,High
PERSONALIZATION,29485,9.9M,"1,000,000+",0,Everyone,"July 20, 2018",1.0.4,High
FAMILY,4,3.6M,100+,$1.49,Teen,"March 4, 2017",1.3.5,High
MEDICAL,1686,15M,"100,000+",0,Everyone,"July 30, 2018",2.9,High
FAMILY,54,50M,"1,000+",$19.40,Everyone,"November 18, 2017",3.1.2,High
NEWS_AND_MAGAZINES,46,46M,"1,000+",0,Everyone,"May 1, 2017",1.0.1,High
FINANCE,64959,39M,"1,000,000+",0,Everyone,"June 18, 2018",5.0.1,High
FINANCE,6,6.2M,500+,0,Everyone,"August 3, 2018",2.0.10,High
FAMILY,12,4.0M,"1,000+",0,Everyone,"May 25, 2018",3.0.18,High
HEALTH_AND_FITNESS,130104,25M,"10,000,000+",0,Everyone,"August 3, 2018",5.3,High
BOOKS_AND_REFERENCE,2084,6.7M,"500,000+",0,Everyone,"May 17, 2018",15.0,High
PERSONALIZATION,16,3.7M,"1,000+",0,Everyone,"August 1, 2018",2.3.0,High
GAME,144,6.3M,"1,000+",$6.99,Everyone,"May 15, 2018",1.0.9,High
TOOLS,12759663,15M,"100,000,000+",0,Everyone,"July 25, 2018",3.1.2,High
MEDICAL,5,28M,100+,0,Everyone,"September 21, 2017",300000.0.90,High
PRODUCTIVITY,93,14M,"1,000+",0,Everyone,"July 17, 2018",2.3.14,High
PHOTOGRAPHY,3378,30M,"1,000,000+",0,Mature 17+,"July 25, 2018",1.7,High
TRAVEL_AND_LOCAL,14,4.0M,"1,000+",0,Everyone,"April 12, 2018",1.0,High
SOCIAL,20,4.2M,10+,0,Teen,"July 23, 2018",1.0,High
FAMILY,13,13M,"1,000+",0,Everyone,"November 20, 2017",1.0.6,High
PRODUCTIVITY,12,15M,"1,000+",0,Everyone,"February 24, 2017",1.2,High
WEATHER,25243,26M,"100,000+",$2.99,Everyone,"August 1, 2018",4.34.0,High
FAMILY,3,2.0M,"1,000+",0,Everyone,"August 10, 2017",1.0,High
SPORTS,161423,73M,"5,000,000+",0,Everyone,"August 1, 2018",6.5.3,High
PERSONALIZATION,102923,18M,"1,000,000+",0,Everyone,"July 10, 2018",2.1.2,High
PRODUCTIVITY,27820,4.7M,"1,000,000+",0,Everyone,"July 29, 2018",2.1,High
DATING,110,4.9M,"10,000+",0,Mature 17+,"July 9, 2018",8.2,High
GAME,1432809,29M,"10,000,000+",0,Mature 17+,"July 29, 2018",3.3,High
SOCIAL,2,2.4M,500+,0,Everyone,"July 15, 2016",3.7.5,High
LIFESTYLE,10198,2.2M,"100,000+",0,Everyone,"August 21, 2017",1.10,High
GAME,1418,26M,"10,000+",0,Teen,"May 30, 2018",1.2.1,High
FOOD_AND_DRINK,41,4.0M,500+,0,Teen,"July 17, 2018",1.0,High
BOOKS_AND_REFERENCE,24278,3.1M,"1,000,000+",0,Everyone,"December 27, 2017",2.1.2,High
TOOLS,2176,953k,"100,000+",0,Everyone,"August 1, 2018",1.5.1,High
FAMILY,227,15M,"50,000+",0,Everyone,"February 24, 2018",1.0,High
FAMILY,45458,35M,"1,000,000+",0,Mature 17+,"August 3, 2018",1.5.49,High
FINANCE,8,3.1M,500+,0,Everyone,"February 9, 2018",1.2,High
NEWS_AND_MAGAZINES,9,6.3M,"1,000+",0,Everyone,"April 26, 2018",1.0,High
TOOLS,28030,9.0M,"1,000,000+",0,Everyone,"August 2, 2018",4.4.4,High
BOOKS_AND_REFERENCE,55011,68M,"1,000,000+",0,Everyone,"November 2, 2017",1.1.3,High
PHOTOGRAPHY,7594559,34M,"100,000,000+",0,Teen,"August 6, 2018",9.40.3,High
GAME,132282,20M,"1,000,000+",0,Everyone,"July 31, 2018",15.0,High
SHOPPING,35497,16M,"1,000,000+",0,Everyone,"July 11, 2018",4.16.0,High
TRAVEL_AND_LOCAL,3,2.4M,100+,0,Everyone,"November 28, 2016",1.1,High
FINANCE,4,5.1M,50+,0,Everyone,"May 23, 2018",1.0.17.0423,High
FAMILY,227401,91M,"5,000,000+",0,Everyone,"July 19, 2018",1.5.0,High
PERSONALIZATION,4,1.7M,10+,0,Everyone,"February 28, 2018",1.1,High
FOOD_AND_DRINK,42,3.9M,100+,0,Teen,"July 18, 2018",1.0,High
GAME,1692,36M,"10,000+",$4.99,Everyone,"April 23, 2018",1.1.0,High
PERSONALIZATION,2,10M,500+,0,Mature 17+,"June 10, 2018",1.3,High
AUTO_AND_VEHICLES,116986,35M,"5,000,000+",0,Everyone,"August 2, 2018",1.9.7,High
MAPS_AND_NAVIGATION,796,25M,"50,000+",0,Everyone,"May 18, 2018",6.7.0,High
LIFESTYLE,66,8.1M,"1,000+",0,Everyone,"July 18, 2018",1.0,High
PERSONALIZATION,4724,5.4M,"1,000,000+",0,Everyone,"July 30, 2018",1.2,High
TOOLS,47,17M,"1,000+",0,Everyone,"April 10, 2018",1.0.19,High
FINANCE,13819,3.9M,"1,000,000+",0,Everyone,"July 4, 2018",3.3,High
NEWS_AND_MAGAZINES,27,7.1M,500+,0,Everyone,"May 6, 2018",7.5.0,High
HEALTH_AND_FITNESS,71269,49M,"1,000,000+",0,Everyone,"March 30, 2018",2.3.2,High
GAME,280098,50M,"10,000,000+",0,Everyone,"July 20, 2018",2.11.2,High
FAMILY,4,5.8M,100+,0,Everyone,"April 11, 2018",1.0.1,High
PHOTOGRAPHY,2,7.5M,500+,0,Everyone,"January 8, 2018",1.0,High
BOOKS_AND_REFERENCE,3234,85M,"100,000+",0,Everyone,"December 26, 2017",1.7.22,High
PHOTOGRAPHY,12572,8.5M,"1,000,000+",0,Everyone,"March 14, 2018",1.31,High
FAMILY,19230,45M,"5,000,000+",0,Everyone,"July 12, 2018",8.25.10.01,High
FAMILY,106,3.9M,"10,000+",0,Everyone,"November 19, 2016",1.1,High
COMMUNICATION,115,2.8M,"5,000+",0,Everyone,"July 15, 2016",1.4.4,High
PRODUCTIVITY,48,7.3M,"1,000+",0,Everyone,"November 22, 2017",1.2.3,High
EDUCATION,10852,18M,"1,000,000+",0,Everyone,"November 28, 2017",10,High
SPORTS,1312936,21M,"10,000,000+",0,Everyone,"July 31, 2018",3.4.06,High
BUSINESS,2,23M,50+,0,Everyone,"July 24, 2018",1.29,High
LIFESTYLE,275,3.9M,"5,000+",$2.99,Everyone,"July 17, 2018",2.8.3,High
SHOPPING,104068,37M,"5,000,000+",0,Teen,"August 1, 2018",4.5.1,High
SOCIAL,22098,18M,"1,000,000+",0,Everyone,"July 24, 2018",4.2.4,High
SHOPPING,2278,12M,"500,000+",0,Everyone,"July 15, 2018",3.28.1.3.1359,High
FAMILY,50060,98M,"1,000,000+",0,Everyone,"August 7, 2018",1.4.83,High
TRAVEL_AND_LOCAL,17882,86M,"1,000,000+",0,Everyone,"August 3, 2018",3.4.5,High
FAMILY,33,3.3M,100+,0,Everyone,"November 18, 2017",1.0,High
FAMILY,3136,2.7M,"100,000+",0,Everyone,"June 27, 2018",2.19.6,High
BOOKS_AND_REFERENCE,659,5.0M,"10,000+",0,Everyone,"August 28, 2017",4.4.5,High
LIFESTYLE,206,3.9M,"1,000+",0,Everyone,"June 20, 2017",2.3.13,High
FAMILY,65,55M,"5,000+",0,Everyone,"November 19, 2017",1.0,High
FAMILY,100,10M,"1,000+",0,Everyone,"May 6, 2018",3.1.1,High
SPORTS,29673,57M,"1,000,000+",0,Mature 17+,"August 6, 2018",2.46.1,High
PERSONALIZATION,60,78M,"1,000+",$0.99,Everyone,"July 29, 2018",4.0.1,High
BUSINESS,4,12M,100+,0,Everyone,"November 6, 2017",1.0.4,High
LIFESTYLE,12,1.2M,100+,$0.99,Teen,"March 25, 2014",1.0,High
FAMILY,773,55M,"100,000+",0,Everyone,"August 22, 2017",1.0.1,High
SHOPPING,4,1.6M,"1,000+",0,Everyone,"May 16, 2016",1.3,High
SHOPPING,308234,38M,"10,000,000+",0,Everyone,"August 2, 2018",5.3.0,High
PERSONALIZATION,8642,3.7M,"500,000+",0,Everyone,"May 22, 2018",1.1.6,High
FINANCE,8662,38M,"100,000+",0,Everyone,"July 20, 2018",2.5.7,High
PRODUCTIVITY,72513,12M,"5,000,000+",0,Everyone,"July 18, 2018",5.0.1.11068,High
GAME,17,4.7M,100+,$14.00,Teen,"July 9, 2017",1.1.10,High
SPORTS,1,6.3M,10+,0,Everyone,"May 26, 2015",4.1.1,High
FAMILY,5591653,95M,"50,000,000+",0,Everyone 10+,"July 18, 2018",35.119,High
FAMILY,6673,4.4M,"500,000+",0,Everyone,"September 23, 2016",1.0.7,High
FAMILY,22,2.2M,100+,0,Mature 17+,"November 2, 2017",1.4,High
FAMILY,7,5.6M,10+,0,Everyone,"December 7, 2017",1.0,High
PRODUCTIVITY,3362,756k,"50,000+",0,Everyone,"November 21, 2017",1.7,High
EDUCATION,21,44M,"1,000+",$5.99,Everyone,"July 21, 2017",1.3,High
FAMILY,1491,38M,"50,000+",0,Everyone,"October 31, 2017",1.3,High
GAME,10393,18M,"1,000,000+",0,Everyone,"July 11, 2018",2.2.3181,High
EDUCATION,3528,24M,"100,000+",$3.99,Everyone,"June 12, 2018",1.1.1,High
LIFESTYLE,19,11M,500+,0,Everyone,"March 1, 2018",1.1,High
FAMILY,2354042,72M,"50,000,000+",0,Everyone 10+,"July 3, 2018",4.2.0,High
HEALTH_AND_FITNESS,31139,6.9M,"1,000,000+",0,Everyone,"July 24, 2018",1.0.11,High
FAMILY,47,3.3M,"5,000+",0,Everyone,"August 1, 2018",1.1,High
PERSONALIZATION,561,41M,"10,000+",0,Everyone,"December 4, 2014",1.05,High
FAMILY,2,6.6M,500+,0,Everyone,"January 31, 2018",1.0.9,High
SOCIAL,308,454k,"10,000+",0,Everyone,"June 10, 2015",1.0,High
COMMUNICATION,191032,26M,"5,000,000+",0,Everyone,"August 4, 2018",7.2.29,High
FAMILY,76608,24M,"1,000,000+",0,Everyone 10+,"January 5, 2017",1.3.1,High
FINANCE,175,12M,"10,000+",0,Everyone,"August 3, 2018",2.2.0,High
PRODUCTIVITY,2965,2.4M,"100,000+",0,Everyone,"May 10, 2015",1.1.3,High
GAME,3778921,75M,"100,000,000+",0,Everyone,"July 26, 2018",3.8.5,High
SPORTS,990,9.4M,"100,000+",0,Everyone,"July 18, 2018",2.28.1,High
FAMILY,7881,53M,"500,000+",0,Everyone,"May 6, 2018",7.0,High
GAME,32,24M,"1,000+",0,Teen,"July 11, 2018",0.24,High
LIFESTYLE,1658,9.7M,"100,000+",0,Everyone,"July 31, 2018",2.0.9,High
SHOPPING,44588,20M,"5,000,000+",0,Everyone,"July 12, 2018",9.0.0,High
FINANCE,413,13M,"10,000+",0,Everyone,"May 30, 2018",5.9.1.0,High
ART_AND_DESIGN,118,23M,"50,000+",0,Everyone,"July 7, 2018",1.1.3,High
GAME,1475,34M,"10,000+",$4.99,Teen,"January 2, 2018",1.0.4,High
EVENTS,120,5.1M,"10,000+",0,Everyone,"July 25, 2018",2.5,High
DATING,5,4.4M,"1,000+",0,Mature 17+,"July 17, 2018",3.0,High
FAMILY,43,3.3M,"1,000+",0,Everyone,"March 27, 2018",1.1,High
FAMILY,55,1.5M,"1,000+",0,Everyone,"September 26, 2015",1.0,High
FOOD_AND_DRINK,5093,56M,"500,000+",0,Everyone,"April 10, 2018",1.9.0,High
FAMILY,15,3.9M,100+,$1.99,Everyone,"April 16, 2018",0.0.53,High
FAMILY,41,4.0M,"1,000+",0,Everyone,"December 13, 2017",10.6,High
PRODUCTIVITY,5383985,16M,"100,000,000+",0,Everyone,"August 3, 2018",4.1.8.2.2,High
FAMILY,130,2.2M,"10,000+",0,Everyone,"April 4, 2016",1.0.3,High
PHOTOGRAPHY,1,2.3M,100+,0,Everyone,"January 24, 2017",1.0.5,High
TOOLS,2,19M,10+,0,Everyone,"October 12, 2015",1.2.2,High
TOOLS,6,11M,100+,0,Everyone,"August 8, 2015",0.1.1,High
PRODUCTIVITY,155999,12M,"10,000,000+",0,Everyone,"August 5, 2018",12.8.2,High
PERSONALIZATION,6702776,17M,"100,000,000+",0,Teen,"August 3, 2018",5.41.0,High
MEDICAL,6,17M,"1,000+",0,Everyone,"March 10, 2018",2.0,High
SHOPPING,928,8.6M,"100,000+",0,Everyone,"August 2, 2018",1.7.0,High
COMICS,33783,6.4M,"1,000,000+",0,Teen,"July 28, 2018",1.3.34,High
GAME,16851,81M,"100,000+",$1.99,Everyone 10+,"August 3, 2018",1.5.0,High
FOOD_AND_DRINK,2707,8.9M,"100,000+",0,Everyone,"May 15, 2018",2.12,High
SHOPPING,6210998,15M,"100,000,000+",0,Everyone,"August 3, 2018",4.20.5,High
PERSONALIZATION,237,6.4M,"10,000+",0,Everyone,"July 30, 2018",1.279.13.93,High
